Estimated_Deliveries,Production_Units,CO2_Saved_tons,Charging_Stations,Date,Region_enc,Model_enc,Source_enc,R_Asia,R_Europe,R_Middle East,R_North America,M_Cybertruck,M_Model 3,M_Model S,M_Model X,M_Model Y,S_Estimated (Region),S_Interpolated (Month),S_Official (Quarter),Week_of_year,Is_Q4,Year_progress,Deliveries_lag1,Price_lag1,Deliveries_lag3,Price_lag3,Deliveries_lag6,Price_lag6,Deliveries_roll3_std,Deliveries_roll6_mean,Deliveries_roll6_std,Prod_Delivery_gap,Station_per_Del,log_Price,log_Deliveries
113,118,12.02,14580,2015-07-01,0,0,1,True,False,False,False,True,False,False,False,False,False,True,False,27,0,0.5454545454545454,7201.0,114461.07,15221.0,112686.63,11325.0,54449.08,4876.0750951285945,10610.666666666666,3411.2398137138744,5,127.89473684210526,11.653278884562159,4.736198448394496
10222,11128,507.52,7022,2015-08-01,0,0,2,True,False,False,False,True,False,False,False,False,False,False,True,31,0,0.6363636363636364,113.0,115067.04,6406.0,107577.61,13254.0,88864.06,3883.160611323377,8742.0,5420.738473676811,906,0.6868825198082754,11.263581536835225,9.232395362757014
10844,12086,579.07,8849,2015-09-01,0,0,1,True,False,False,False,True,False,False,False,False,False,True,False,36,0,0.7272727272727273,10222.0,77930.19,7201.0,114461.07,10257.0,65107.47,5189.060062606073,8236.666666666666,5044.246491465961,1242,0.8159520516366989,10.998910092694496,9.291459423260974
5675,6461,609.49,8690,2015-10-01,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,40,1,0.8181818181818182,10844.0,59807.92,113.0,115067.04,15221.0,112686.63,6024.023101992001,8334.5,5096.687659647195,786,1.5310077519379846,11.678228694704128,8.644002038279933
4482,4968,305.22,5642,2015-11-01,0,0,1,True,False,False,False,True,False,False,False,False,False,True,False,44,1,0.9090909090909091,5675.0,117974.08,10222.0,77930.19,6406.0,107577.61,2821.9571813430007,6743.5,3855.96933338428,486,1.2585322328797681,11.347016088514918,8.40804774415544
4993,5640,447.87,5226,2015-12-01,0,0,2,True,False,False,False,True,False,False,False,False,False,False,True,49,1,1.0,4482.0,84711.3,10844.0,59807.92,7201.0,114461.07,3381.736585444427,6422.833333333333,3968.022450373319,647,1.0464557468962756,11.328109078675585,8.515992470839718
8067,8485,543.31,3481,2016-01-01,0,0,1,True,False,False,False,True,False,False,False,False,False,True,False,53,0,0.0,4993.0,83124.69,5675.0,117974.08,113.0,115067.04,598.5390546990214,6054.833333333333,3983.77576761879,418,0.4314576103123451,11.238142638371349,8.995660899074103
10601,11391,942.96,9847,2016-02-01,0,0,2,True,False,False,False,True,False,False,False,False,False,False,True,5,0,0.09090909090909091,8067.0,75972.71,4482.0,84711.3,10222.0,77930.19,1939.1932171223507,7380.5,2740.4899379490535,790,0.9287870213167327,11.44304266189732,9.268797941547751
10500,11998,762.3,13610,2016-03-01,0,0,2,True,False,False,False,True,False,False,False,False,False,False,True,9,0,0.18181818181818182,10601.0,93249.31,4993.0,83124.69,10844.0,59807.92,2808.3297527177965,7443.666666666667,2822.232567785063,1498,1.2960670412341682,11.430780373836534,9.259225769705994
2655,2813,277.18,9188,2016-04-01,0,0,2,True,False,False,False,True,False,False,False,False,False,False,True,13,0,0.2727272727272727,10500.0,92112.83,8067.0,75972.71,5675.0,117974.08,1434.738419828971,7386.333333333333,2741.6844214217417,158,3.4593373493975905,11.305965008143357,7.884576510596324
9308,9832,798.63,12420,2016-05-01,0,0,1,True,False,False,False,True,False,False,False,False,False,True,False,17,0,0.36363636363636365,2655.0,81304.18,10601.0,93249.31,4482.0,84711.3,4558.748768393947,6883.0,3332.2951249851817,524,1.3341927167257492,11.259507482913468,9.13873695311649
7885,8483,568.9,9506,2016-06-01,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,22,0,0.45454545454545453,9308.0,77613.34,10500.0,92112.83,4993.0,83124.69,4227.436141839795,7687.333333333333,3217.2990328327687,598,1.2054273395891453,11.597727995921282,8.972844314437573
10563,11036,1069.5,8155,2016-07-01,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,26,0,0.5454545454545454,7885.0,108849.21,2655.0,81304.18,8067.0,75972.71,3503.337408814629,8169.333333333333,2937.3716596077297,473,0.7719613782658084,11.660039013597473,9.265207273417023
8832,10136,547.14,3782,2016-08-01,0,0,1,True,False,False,False,True,False,False,False,False,False,True,False,31,0,0.6363636363636364,10563.0,115847.55,9308.0,77613.34,10601.0,93249.31,1339.8779795190333,8585.333333333334,3092.6232662040597,1304,0.4281671006453074,11.552548693257268,9.086249986745132
